ID      x-pos       y-pos      z-pos      vm    |    x-pos       y-pos      z-pos      vm    |   vm_average
9979  -1997.493652  -50.000221  -124.999985  51.288029 | -1997.493652  -50.000221  -124.999985  55.99144 | 53.6397345
9980  -1997.493652  -50.000221  -375.0  52.865299 | -1997.493652  -50.000221  -375.0  51.038483 | 51.951891
9981  -1997.493652  -50.000221  -624.999939  48.732765 | -1997.493652  -50.000221  -624.999939  48.015392 | 48.374078499999996
9982  -1997.493652  -50.000221  -875.0  49.709522 | -1997.493652  -50.000221  -875.0  44.458324 | 47.083923
9983  -1997.493652  -50.000221  -1125.0  53.366238 | -1997.493652  -50.000221  -1125.0  48.041901 | 50.7040695
9984  -1997.493652  -50.000221  -1375.000122  61.439072 | -1997.493652  -50.000221  -1375.000122  54.849686 | 58.144379
9985  -1997.493652  -50.000221  -1625.0  70.602165 | -1997.493652  -50.000221  -1625.0  63.802902 | 67.2025335
9986  -1997.493652  -50.000221  -1874.999756  80.102776 | -1997.493652  -50.000221  -1874.999756  72.692703 | 76.3977395
9987  -1997.493652  -50.000221  -2125.0  88.8218 | -1997.493652  -50.000221  -2125.0  80.9515 | 84.88665
9988  -1997.493652  -50.000221  -2375.0  96.618813 | -1997.493652  -50.000221  -2375.0  88.209084 | 92.4139485
9989  -1997.493652  -50.000221  -2625.0  103.27166 | -1997.493652  -50.000221  -2625.0  94.364464 | 98.818062
9990  -1997.493652  -50.000221  -2874.999512  108.894913 | -1997.493652  -50.000221  -2874.999512  99.495567 | 104.19524
9991  -1997.493652  -50.000221  -3124.999756  113.513733 | -1997.493652  -50.000221  -3124.999756  103.646568 | 108.5801505
9992  -1997.493652  -50.000221  -3375.000244  117.292801 | -1997.493652  -50.000221  -3375.000244  106.98011 | 112.1364555
9993  -1997.493652  -50.000221  -3625.000244  120.325089 | -1997.493652  -50.000221  -3625.000244  109.577965 | 114.951527
9994  -1997.493652  -50.000221  -3875.000244  122.760353 | -1997.493652  -50.000221  -3875.000244  111.601982 | 117.1811675
9995  -1997.493652  -50.000221  -4125.0  124.705208 | -1997.493652  -50.000221  -4125.0  113.134644 | 118.919926
9996  -1997.493652  -50.000221  -4375.0  126.279877 | -1997.493652  -50.000221  -4375.0  114.313881 | 120.29687899999999
9997  -1997.493652  -50.000221  -4625.0  127.580849 | -1997.493652  -50.000221  -4625.0  115.210152 | 121.3955005
9998  -1997.493652  -50.000221  -4875.0  128.698441 | -1997.493652  -50.000221  -4875.0  115.92981 | 122.3141255
9999  -1997.493652  -50.000221  -5125.0  129.708298 | -1997.493652  -50.000221  -5125.0  116.528564 | 123.11843100000002
10000  -1997.493652  -50.000221  -5374.999512  130.676025 | -1997.493652  -50.000221  -5374.999512  117.081032 | 123.8785285
10001  -1997.493652  -50.000221  -5625.0  131.654602 | -1997.493652  -50.000221  -5625.0  117.627205 | 124.64090350000001
10002  -1997.493652  -50.000221  -5875.0  132.685425 | -1997.493652  -50.000221  -5875.0  118.215744 | 125.4505845
10003  -1997.493652  -50.000221  -6125.0  133.80452 | -1997.493652  -50.000221  -6125.0  118.869186 | 126.33685299999999
10004  -1997.493652  -50.000221  -6375.0  135.029846 | -1997.493652  -50.000221  -6375.0  119.615898 | 127.32287199999999
10005  -1997.493652  -50.000221  -6625.0  136.380981 | -1997.493652  -50.000221  -6625.0  120.463036 | 128.4220085
10006  -1997.493652  -50.000221  -6875.0  137.859985 | -1997.493652  -50.000221  -6875.0  121.42186 | 129.6409225
10007  -1997.493652  -50.000221  -7124.999023  139.472229 | -1997.493652  -50.000221  -7124.999023  122.485397 | 130.978813
10008  -1997.493652  -50.000221  -7374.999512  141.200546 | -1997.493652  -50.000221  -7374.999512  123.651566 | 132.42605600000002
10009  -1997.493652  -50.000221  -7625.0  143.04071 | -1997.493652  -50.000221  -7625.0  124.897957 | 133.9693335
10010  -1997.493652  -50.000221  -7875.0  144.957352 | -1997.493652  -50.000221  -7875.0  126.211502 | 135.584427
10011  -1997.493652  -50.000221  -8125.0  146.937332 | -1997.493652  -50.000221  -8125.0  127.553841 | 137.2455865
10012  -1997.493652  -50.000221  -8375.0  148.924011 | -1997.493652  -50.000221  -8375.0  128.901871 | 138.912941
10013  -1997.493652  -50.000221  -8625.0  150.898026 | -1997.493652  -50.000221  -8625.0  130.200012 | 140.549019
10014  -1997.493652  -50.000221  -8875.0  152.780594 | -1997.493652  -50.000221  -8875.0  131.414902 | 142.09774800000002
10015  -1997.493652  -50.000221  -9125.0  154.545319 | -1997.493652  -50.000221  -9125.0  132.473938 | 143.50962850000002
10016  -1997.493652  -50.000221  -9375.0  156.088837 | -1997.493652  -50.000221  -9375.0  133.335312 | 144.7120745
